               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.030822,            0.043966,           0.0044833,             0.97793,             0.88312,             0.86833,             0.61122,            0.022828,            0.024764,           0.0026336,            0.003664,            0.003664,            0.003664
                  66,            0.030116,            0.044154,           0.0045792,             0.97754,             0.88246,             0.86864,              0.6716,            0.019631,            0.023541,            0.002648,            0.003565,            0.003565,            0.003565
                  67,            0.030297,            0.043565,           0.0043289,             0.97765,             0.88328,             0.86889,             0.67541,            0.019235,            0.023391,           0.0026643,            0.003466,            0.003466,            0.003466
                  68,            0.030025,            0.043757,           0.0043943,             0.97759,             0.88324,             0.86858,             0.66747,            0.019611,            0.023478,           0.0026468,            0.003367,            0.003367,            0.003367
                  69,            0.029838,            0.043884,           0.0043331,             0.97759,             0.88361,             0.86931,             0.60541,            0.023254,            0.024946,           0.0025896,            0.003268,            0.003268,            0.003268
                  70,            0.030008,            0.044398,           0.0043545,             0.97754,             0.88373,             0.86924,             0.67687,            0.018861,            0.023187,           0.0025677,            0.003169,            0.003169,            0.003169
                  71,            0.030098,            0.043758,           0.0043591,             0.97779,             0.88284,             0.86768,             0.60013,              0.0241,             0.02538,           0.0025973,             0.00307,             0.00307,             0.00307
                  72,            0.029819,              0.0445,           0.0043543,             0.97794,             0.88384,             0.87032,              0.6038,             0.02355,            0.025164,            0.002557,            0.002971,            0.002971,            0.002971
                  73,            0.029163,            0.041938,           0.0042158,             0.97681,               0.882,             0.86844,             0.67211,            0.019486,            0.023486,           0.0025476,            0.002872,            0.002872,            0.002872
                  74,            0.029208,            0.043403,           0.0041511,             0.97762,             0.88274,             0.86839,              0.6748,            0.018883,            0.022985,           0.0025956,            0.002773,            0.002773,            0.002773
                  75,             0.02982,            0.043412,           0.0042275,             0.97817,             0.88317,             0.86855,             0.65838,            0.019985,            0.023429,           0.0025297,            0.002674,            0.002674,            0.002674
                  76,            0.029234,            0.043022,           0.0040403,             0.97796,             0.88257,             0.86932,             0.66508,            0.019513,            0.023482,           0.0025757,            0.002575,            0.002575,            0.002575
                  77,            0.028944,            0.042982,            0.004267,             0.97771,              0.8832,             0.86893,             0.67328,            0.018955,            0.023005,           0.0025325,            0.002476,            0.002476,            0.002476
                  78,            0.028767,            0.042327,            0.004236,             0.97771,             0.88352,             0.86859,             0.67458,            0.018901,            0.022934,           0.0025105,            0.002377,            0.002377,            0.002377
                  79,            0.028758,            0.043935,           0.0041574,             0.97784,             0.88347,              0.8682,             0.68539,            0.018127,             0.02267,           0.0025198,            0.002278,            0.002278,            0.002278
                  80,            0.028864,            0.043055,           0.0038851,             0.97789,             0.88344,             0.86833,             0.65614,            0.020032,             0.02332,           0.0024399,            0.002179,            0.002179,            0.002179
                  81,             0.02846,            0.042916,           0.0040055,             0.97782,             0.88321,             0.86976,             0.67773,            0.019076,            0.022998,           0.0024905,             0.00208,             0.00208,             0.00208
                  82,            0.028644,            0.043688,           0.0041569,             0.97818,             0.88305,             0.86931,             0.66517,            0.019696,            0.023194,           0.0024965,            0.001981,            0.001981,            0.001981
                  83,            0.028152,            0.042481,           0.0040555,             0.97797,             0.88317,              0.8689,             0.67939,            0.018587,            0.022784,           0.0024898,            0.001882,            0.001882,            0.001882
                  84,            0.028079,             0.04159,           0.0037133,             0.97808,             0.88328,              0.8708,             0.57688,            0.025442,            0.026015,           0.0024031,            0.001783,            0.001783,            0.001783
                  85,            0.028361,             0.04234,           0.0040534,             0.97813,             0.88286,             0.87002,             0.67987,             0.01865,            0.022753,           0.0024598,            0.001684,            0.001684,            0.001684
                  86,            0.028222,            0.041251,           0.0039396,             0.97821,             0.88305,             0.86978,             0.64512,            0.020745,            0.023784,           0.0024116,            0.001585,            0.001585,            0.001585
                  87,            0.027957,            0.041695,           0.0038074,              0.9782,             0.88324,             0.86969,             0.62903,            0.021685,            0.024034,           0.0024157,            0.001486,            0.001486,            0.001486
                  88,            0.028147,            0.041769,            0.003896,             0.97761,             0.88291,              0.8692,             0.68616,            0.018357,            0.022689,           0.0024615,            0.001387,            0.001387,            0.001387
                  89,            0.027838,              0.0424,            0.003665,             0.97825,             0.88328,             0.86895,             0.63475,            0.021311,            0.023976,           0.0024049,            0.001288,            0.001288,            0.001288
                  90,            0.027759,             0.04268,           0.0037227,             0.97774,             0.88328,             0.86913,             0.68288,            0.018262,            0.022471,           0.0023966,            0.001189,            0.001189,            0.001189
                  91,            0.027595,            0.042194,           0.0037686,             0.97765,             0.88328,             0.86921,             0.67754,            0.018481,             0.02268,           0.0023842,             0.00109,             0.00109,             0.00109
                  92,            0.027488,             0.04173,            0.003818,             0.97805,             0.88328,              0.8703,             0.63254,            0.021513,               0.024,           0.0023468,            0.000991,            0.000991,            0.000991
                  93,            0.027267,            0.041907,           0.0036727,             0.97752,             0.88298,             0.86858,             0.68052,            0.018362,             0.02253,           0.0023582,            0.000892,            0.000892,            0.000892
                  94,            0.027244,             0.04211,           0.0037283,             0.97807,              0.8834,             0.86972,              0.6649,            0.019393,            0.023137,           0.0023778,            0.000793,            0.000793,            0.000793
                  95,            0.027482,            0.042104,           0.0039104,              0.9781,             0.88295,             0.86908,             0.66158,            0.019574,            0.022999,           0.0023762,            0.000694,            0.000694,            0.000694
                  96,            0.027608,              0.0425,            0.003849,             0.97764,             0.88272,             0.86883,             0.67858,            0.018705,            0.022689,           0.0023829,            0.000595,            0.000595,            0.000595
                  97,            0.026885,            0.040428,           0.0035548,             0.97807,             0.88328,             0.86874,             0.67371,            0.018792,            0.022815,           0.0023692,            0.000496,            0.000496,            0.000496
                  98,            0.026944,            0.041354,             0.00368,             0.97809,             0.88309,             0.86883,             0.66271,             0.01949,            0.022955,           0.0023664,            0.000397,            0.000397,            0.000397
                  99,            0.027236,            0.042375,           0.0037663,             0.97807,             0.88305,             0.86883,             0.67057,            0.018996,            0.022777,            0.002375,            0.000298,            0.000298,            0.000298
