               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.067617,            0.031061,           0.0084855,            0.057381,             0.14553,            0.045574,            0.011791,            0.074372,            0.017471,           0.0085307,           0.0087378,           0.0087378,           0.0087378
                  53,            0.067138,            0.031053,           0.0088833,            0.099182,             0.16944,            0.052555,            0.013395,            0.080392,            0.017282,           0.0095859,            0.008713,            0.008713,            0.008713
                  54,            0.066079,            0.032316,           0.0074998,            0.090267,             0.14241,            0.046796,            0.011033,            0.074598,            0.019245,             0.00997,           0.0086882,           0.0086882,           0.0086882
                  55,            0.066107,            0.031162,           0.0078545,            0.095694,             0.13669,            0.044342,            0.011459,             0.07832,            0.016601,            0.014348,           0.0086635,           0.0086635,           0.0086635
                  56,            0.065147,            0.033023,           0.0076216,            0.059584,             0.17256,            0.039267,           0.0093982,            0.073444,            0.019605,           0.0064475,           0.0086388,           0.0086388,           0.0086388
                  57,             0.06581,             0.03246,           0.0076711,            0.096169,             0.16736,            0.073211,            0.016219,            0.078308,            0.018066,            0.012924,            0.008614,            0.008614,            0.008614
                  58,            0.064416,            0.033012,           0.0073321,             0.10162,             0.10967,            0.074055,            0.016818,            0.075951,             0.01732,            0.012714,           0.0085893,           0.0085893,           0.0085893
                  59,            0.063555,            0.031004,           0.0071607,            0.078301,            0.098233,            0.048117,           0.0086947,            0.077957,            0.017817,            0.017788,           0.0085645,           0.0085645,           0.0085645
                  60,            0.064904,            0.030378,           0.0082173,            0.071265,             0.18191,            0.051512,            0.011229,            0.078398,            0.016742,            0.011334,           0.0085398,           0.0085398,           0.0085398
                  61,            0.064727,            0.030184,           0.0082224,            0.045033,             0.20582,            0.040194,            0.010147,            0.081458,            0.016889,            0.012162,            0.008515,            0.008515,            0.008515
                  62,            0.064004,            0.029094,           0.0076584,              0.1208,             0.12214,            0.070909,            0.015872,            0.087337,            0.015551,            0.013093,           0.0084903,           0.0084903,           0.0084903
                  63,            0.062551,            0.029189,           0.0069002,            0.047929,             0.11746,            0.036197,           0.0088878,            0.076058,            0.018003,            0.013434,           0.0084655,           0.0084655,           0.0084655
                  64,            0.064538,            0.031772,           0.0068124,             0.18017,            0.093555,            0.058547,            0.015766,            0.076872,            0.016501,           0.0086876,           0.0084408,           0.0084408,           0.0084408
                  65,            0.063232,            0.032307,           0.0065904,             0.15993,              0.2157,            0.091749,            0.023367,             0.07172,            0.017369,            0.009622,            0.008416,            0.008416,            0.008416
                  66,            0.063454,            0.030873,           0.0063451,            0.077708,             0.25312,             0.06336,            0.017328,            0.078321,            0.017139,            0.015952,           0.0083913,           0.0083913,           0.0083913
                  67,            0.062848,            0.028682,           0.0068605,               0.134,             0.27911,            0.075465,            0.020071,            0.080701,            0.016581,            0.013693,           0.0083665,           0.0083665,           0.0083665
                  68,            0.063045,            0.033134,           0.0062198,             0.12105,             0.23129,            0.077739,            0.023777,            0.068044,            0.017629,            0.005688,           0.0083418,           0.0083418,           0.0083418
